text,label
有意思,conversation
请问给个建议,advice
帮我想个办法呀,advice
公司培训安排啊,knowledge_query
能不能查一下请假制度,knowledge_query
帮我做个选题,function
我想别忘了周五交周报,function
我想晚上好,greeting
老板今天心情怎么样啊,chat
班车路线,knowledge_query
我想怎么跟客户沟通比较好,advice
工牌丢了怎么办,knowledge_query
请问下午好,greeting
能不能我该怎么选,advice
我想食堂今天吃什么,chat
帮我明白了,conversation
新买的键盘真不错,chat
能不能原来是这样,conversation
在吗,greeting
请问保存这条消息,function
你叫什么名字吧,chat
绩效考核流程是什么吧,knowledge_query
公司食堂在哪吧,knowledge_query
报销发票有什么要求吧,knowledge_query
新买的键盘真不错吧,chat
我想您好,greeting
报销发票有什么要求呀,knowledge_query
下午好呀,greeting
请问公司报销流程是什么,knowledge_query
要不要换个方向做呀,advice
今天好累啊吧,chat
我想明白了,conversation
感觉人生没有意义,crisis
帮我分析一下这个情况呀,advice
帮我评估一下风险,advice
帮我周末要不要一起去打球,chat
翻译这段话啊,function
绩效考核流程是什么,knowledge_query
帮我怎么跟客户沟通比较好,advice
把这段文字转成口播稿,function
然后呢然后呢,conversation
出差标准是多少呀,knowledge_query
原来是这样吧,conversation
能不能查一下公司规定,knowledge_query
晚上好吧,greeting
帮我权衡一下,advice
加班费怎么算,knowledge_query
帮我帮我想个办法,advice
我想哈喽你好,greeting
请问最近有什么好看的电影,chat
帮我离职流程怎么走,knowledge_query
请问您好,greeting
推荐一下方案吧,advice
在吗吧,greeting
食堂今天吃什么,chat
嗨,greeting
帮我记一下明天十点开会,function
接着说,conversation
好想解脱,crisis
我想给个建议,advice
hi,greeting
我坚持不下去了,crisis
我想hi 早上好,greeting
请问好无聊啊,chat
总结这篇文章,function
转正流程是什么啊,knowledge_query
请问数据安全红线是什么,knowledge_query
您好吧,greeting
我想帮我权衡一下,advice
hi吧,greeting
备忘一下啊,function
帮我大家好呀,greeting
帮我今天新闻有啥大事,chat
你觉得怎么做比较好呀,advice
你觉得我该不该跳槽呀,advice
数据安全红线是什么呀,knowledge_query
老板好呀,greeting
今天好累啊,chat
我想这个选题值不值得做,advice
我想还有吗,conversation
写个考研选题脚本,function
合规要求有哪些啊,knowledge_query
我想再讲具体一点,conversation
提点意见,advice
活着太累了,crisis
周末要不要一起去打球,chat
员工请假几天要审批啊,knowledge_query
帮我做个选题啊,function
帮我下午好呀,greeting
别忘了周五交周报,function
帮帮我，我不知道该怎么办了,crisis
详细说说,conversation
请问提醒我下午喝水,function
哈喽呀,greeting
请问最近健身效果不错,chat
生成口播脚本,function
帮我差旅报销怎么走流程,knowledge_query
请问放假想去哪玩,chat
能不能公司食堂在哪,knowledge_query
能不能推荐一下方案,advice
帮我详细说说,conversation
帮我想想怎么回复他,advice
能不能你有没有听过那首歌,chat
最近有什么好看的电影,chat
我应该怎么处理这件事啊,advice
请问帮我梳理一下这个热点事件,function
能不能给点职业建议,advice
有什么建议吗,advice
周末要不要一起去打球吧,chat
备忘一下吧,function
展开讲讲啊,conversation
我想办公用品怎么申请,knowledge_query
帮我工牌丢了怎么办,knowledge_query
您好,greeting
写个短视频文案吧,function
太痛苦了,crisis
能不能帮我分析下竞争对手,advice
哈喽,greeting
请问创建提醒,function
你平时都干嘛啊,chat
我想睡过去再也不醒来,crisis
大家好,greeting
原来是这样,conversation
随便聊聊吧,chat
能不能帮我想想怎么提高效率,advice
最近在追什么剧啊,chat
保存这条消息,function
我想帮我分析下竞争对手,advice
大家好啊,greeting
今天好累啊呀,chat
公司报销流程是什么,knowledge_query
能不能这条内容爆不爆得了,advice
帮我出差标准是多少,knowledge_query
能不能老师好,greeting
老板好,greeting
我想再见,greeting
帮我想想怎么提高效率,advice
不想继续了,crisis
今天股票涨了吗吧,chat
请问转正流程是什么,knowledge_query
今天股票涨了吗,chat
今天新闻有啥大事啊,chat
撑不下去了,crisis
帮我写个口播稿啊,function
帮我转正流程是什么,knowledge_query
请问加班费怎么算,knowledge_query
请问我该选哪个方案,advice
我想帮我梳理一下这个热点事件,function
你有没有听过那首歌,chat
查一下公司规定,knowledge_query
帮我想想怎么回复他呀,advice
帮我年假有几天,knowledge_query
帮我社保怎么交的,knowledge_query
请问分析一下这个热点,function
周末去哪玩,chat
公司报销流程是什么啊,knowledge_query
请问生成一篇热点文案,function
帮我放假想去哪玩,chat
记录一下今天的任务啊,function
能不能添加到待办,function
能不能这个选题值不值得做,advice
我想今天好累啊,chat
我想调休怎么申请,knowledge_query
帮我想个办法,advice
请问推荐一下方案,advice
我想总结这篇文章,function
新来的同事叫什么名字吧,chat
请问你看这个情况怎么办,advice
请问下午好呀,greeting
今天天气不错,chat
帮我哈喽你好,greeting
请问年假有几天,knowledge_query
推荐一下方案,advice
我想离开这个世界,crisis
请问帮我做个选题,function
请问设置每周五提醒,function
员工请假几天要审批,knowledge_query
帮我入职第一天要做什么,knowledge_query
记录一下今天的任务吧,function
能不能你好呀,greeting
帮我你好,greeting
帮我评估一下风险呀,advice
你觉得 AI 会取代人吗,chat
帮我油价又涨了,chat
加班费怎么算吧,knowledge_query
帮我还有吗,conversation
帮我收藏这篇文章,function
创建提醒,function
请问新买的键盘真不错,chat
这条内容爆不爆得了呀,advice
年终奖怎么算的啊,knowledge_query
提点意见呀,advice
有什么改进建议,advice
备忘一下,function
能不能写个考研选题脚本,function
拜拜啊,greeting
这个选题值不值得做,advice
写个短视频文案,function
年假有几天,knowledge_query
请问早上好,greeting
嗯嗯,conversation
请问老师好,greeting
帮我年终奖怎么算的,knowledge_query
请问会议室怎么预订,knowledge_query
食堂今天吃什么呀,chat
这个方案可行吗,advice
出差标准是多少啊,knowledge_query
我想讲个笑话,chat
请问嗨喽,greeting
公司食堂在哪,knowledge_query
帮我帮我权衡一下,advice
我想有什么改进建议,advice
感觉自己要被压垮了,crisis
设置每周五提醒,function
报销发票有什么要求,knowledge_query
回头聊,greeting
好的你继续吧,conversation
查一下请假制度,knowledge_query
帮我周末去哪玩,chat
我好想消失,crisis
嗯嗯继续,conversation
帮我合规要求有哪些,knowledge_query
请问这个方案可行吗,advice
你觉得 AI 会取代人吗吧,chat
生成一篇热点文案,function
帮我帮我做个选题,function
工资条怎么看,knowledge_query
能不能这个热点值不值得追,advice
嗯嗯继续呀,conversation
请问提点意见,advice
能不能再举个例子吧,conversation
展开讲讲,conversation
我想合规要求有哪些,knowledge_query
我想报销发票有什么要求,knowledge_query
我想IT 支持电话多少,knowledge_query
你有没有听过那首歌啊,chat
请问有什么建议吗,advice
帮我帮我设个闹钟七点,function
能不能IT 支持电话多少,knowledge_query
帮我帮我分析一下这个情况,advice
我太累了，想休息一辈子,crisis
我想查一下请假制度,knowledge_query
讲个笑话吧,chat
帮我这个方案可行吗,advice
帮我帮我记一下明天十点开会,function
最近在追什么剧呀,chat
能不能带我走,crisis
我想好的你继续,conversation
大家好呀吧,greeting
我想我应该怎么处理这件事,advice
我撑不下去了，好想放弃一切,crisis
请问给点职业建议,advice
我想帮我设个闹钟七点,function
体检福利有吗,knowledge_query
保存这条消息呀,function
能不能帮我分析下这个数据,advice
没有人理解我，我真的撑不住了,crisis
帮我查一下明天的日程,function
IT 支持电话多少,knowledge_query
油价又涨了吧,chat
大家好呀,greeting
新来的同事叫什么名字啊,chat
我想要不要换个方向做,advice
嗯嗯继续啊,conversation
我该选哪个方案,advice
再讲具体一点,conversation
撑不住怎么办,crisis
懂了懂了,conversation
能不能别忘了周五交周报,function
新员工培训什么时候,knowledge_query
年终奖怎么算的吧,knowledge_query
帮我分析下这个数据吧,advice
周末去哪玩啊,chat
能不能你叫什么名字,chat
帮我分析下竞争对手,advice
帮我评估一下风险啊,advice
请问把这段文字转成口播稿,function
请问今天新闻有啥大事,chat
翻译这段话,function
你好,greeting
帮我嗯嗯继续,conversation
活着太辛苦了,crisis
早上好吧,greeting
我现在只想结束这一切,crisis
帮我绩效考核流程是什么,knowledge_query
提点意见吧,advice
请问然后呢,conversation
创建提醒吧,function
请问详细说说,conversation
帮我查一下明天的日程呀,function
怎么跟客户沟通比较好呀,advice
帮我帮我写个口播稿,function
调休怎么申请,knowledge_query
随便聊聊,chat
我不想再醒来了,crisis
帮我班车路线,knowledge_query
帮我写个口播稿,function
请问帮我想个办法,advice
你好呀吧,greeting
请问hi,greeting
请问公司培训安排,knowledge_query
你觉得怎么做比较好,advice
员工请假几天要审批呀,knowledge_query
公司培训安排,knowledge_query
帮我明天会不会下雨,chat
哈喽你好,greeting
hello,greeting
有意思吧,conversation
体检福利有吗呀,knowledge_query
把这段文字转成口播稿吧,function
新来的同事叫什么名字,chat
我该怎么选,advice
好的你继续,conversation
帮我帮我查一下明天的日程,function
我想帮我想想怎么回复他,advice
请问工牌丢了怎么办,knowledge_query
懂了懂了吧,conversation
你吃饭了吗,chat
请问然后呢然后呢,conversation
拜拜,greeting
最近在追什么剧,chat
查一下公司规定吧,knowledge_query
我想体检福利有吗,knowledge_query
我想能不能再举个例子,conversation
年终奖怎么算的,knowledge_query
要不要换个方向做,advice
哈喽吧,greeting
会议室怎么预订,knowledge_query
能不能会议室怎么预订,knowledge_query
明天会不会下雨,chat
帮我你觉得 AI 会取代人吗,chat
帮我好无聊啊,chat
离职流程怎么走,knowledge_query
你看这个情况怎么办,advice
明白了,conversation
帮我设个闹钟七点,function
生成一篇热点文案呀,function
我想有意思,conversation
再见,greeting
能不能最近有什么好看的电影,chat
入职第一天要做什么,knowledge_query
帮我调休怎么申请,knowledge_query
把这段文字转成口播稿呀,function
收藏这篇文章啊,function
你平时都干嘛,chat
帮我分析下这个数据,advice
邮箱密码忘了怎么办吧,knowledge_query
我想下午好,greeting
你平时都干嘛吧,chat
工牌丢了怎么办吧,knowledge_query
工资条怎么看吧,knowledge_query
请问生成口播脚本,function
能不能离职流程怎么走,knowledge_query
放假想去哪玩啊,chat
帮我拿个主意呀,advice
能不能公司管理制度在哪里看,knowledge_query
添加到待办,function
我想备忘一下,function
这条内容爆不爆得了啊,advice
再见呀,greeting
今天天气不错吧,chat
帮我这个选题值不值得做,advice
再见啊,greeting
能不能社保怎么交的,knowledge_query
食堂今天吃什么啊,chat
请问办公用品怎么申请,knowledge_query
